Time,Axis_0_Value,Axis_1_Value
1744359095.8056495,1,2
1744359095.8057764,1,2
1744359095.8058372,1,2
1744359095.8058944,1,2
1744359095.805952,1,2
1744359095.8060412,1,2
1744359095.8060985,1,2
1744359095.8061533,1,2
1744359095.8062088,1,2
1744359095.8062634,1,2
1744359095.8063176,1,2
1744359095.8063712,1,2
1744359095.8064253,1,2
1744359095.8064816,1,2
1744359095.806537,1,2
1744359095.806592,1,2
1744359095.806649,1,2
1744359095.8067045,1,2
1744359095.8067608,1,2
1744359095.806816,1,2
1744359095.80687,1,2
1744359095.8069248,1,2
1744359095.8069794,1,2
1744359095.8070333,1,2
1744359095.8070881,1,2
1744359095.8071423,1,2
1744359095.8071969,1,2
1744359095.807261,1,2
1744359095.8073158,1,2
1744359095.807371,1,2
1744359095.807426,1,2
1744359095.8074799,1,2
1744359095.8075352,1,2
1744359095.8075895,1,2
1744359095.8076434,1,2
1744359095.807697,1,2
1744359095.807751,1,2
1744359095.8078048,1,2
1744359095.8078592,1,2
1744359095.8079133,1,2
1744359095.8079686,1,2
1744359095.808023,1,2
1744359095.808077,1,2
1744359095.8081312,1,2
1744359095.8081853,1,2
1744359095.8082395,1,2
1744359095.8082933,1,2
1744359095.8083472,1,2
1744359095.808401,1,2
1744359095.808455,1,2
1744359095.808509,1,2
1744359095.8085628,1,2
1744359095.8086178,1,2
1744359095.8086717,1,2
1744359095.8087265,1,2
1744359095.8087802,1,2
1744359095.8088343,1,2
1744359095.808888,1,2
1744359095.8089418,1,2
1744359095.8089962,1,2
1744359095.8090506,1,2
1744359095.809105,1,2
1744359095.8091595,1,2
1744359095.8092496,1,2
1744359095.8093078,1,2
1744359095.8093624,1,2
1744359095.809417,1,2
1744359095.8094711,1,2
1744359095.809525,1,2
1744359095.8095794,1,2
1744359095.8096335,1,2
1744359095.8096879,1,2
1744359095.8097427,1,2
1744359095.809799,1,2
1744359095.8098538,1,2
1744359095.8099084,1,2
1744359095.8099911,1,2
1744359095.81005,1,2
1744359095.8101044,1,2
1744359095.8101585,1,2
1744359095.8102126,1,2
1744359095.810267,1,2
1744359095.8103204,1,2
1744359095.8103747,1,2
1744359095.8104284,1,2
1744359095.8104844,1,2
1744359095.8105395,1,2
1744359095.8105938,1,2
1744359095.8106475,1,2
1744359095.8107014,1,2
1744359095.8107553,1,2
1744359095.8108087,1,2
1744359095.8108647,1,2
1744359095.8109186,1,2
1744359095.8109725,1,2
1744359095.8110259,1,2
1744359095.8110795,1,2
1744359095.8111331,1,2
1744359095.8111873,1,2
1744359095.811241,1,2
1744359095.8112946,1,2
1744359095.8113484,1,2
1744359095.811402,1,2
1744359095.8114555,1,2
1744359095.8115091,1,2
1744359095.8115633,1,2
1744359095.8116171,1,2
1744359095.8116708,1,2
1744359095.8117292,1,2
1744359095.811783,1,2
1744359095.8118367,1,2
1744359095.8118904,1,2
1744359095.811945,1,2
1744359095.812,1,2
1744359095.8120685,1,2
1744359095.812234,1,2
1744359095.812291,1,2
1744359095.812347,1,2
1744359095.812403,1,2
1744359095.8124576,1,2
1744359095.8125122,1,2
1744359095.812566,1,2
1744359095.8126204,1,2
1744359095.8126738,1,2
1744359095.8127275,1,2
1744359095.8127806,1,2
1744359095.8128345,1,2
1744359095.8128881,1,2
1744359095.812946,1,2
1744359095.8129997,1,2
1744359095.8130534,1,2
1744359095.8131073,1,2
1744359095.813161,1,2
1744359095.8132155,1,2
1744359095.8132696,1,2
1744359095.8133233,1,2
1744359095.8133771,1,2
1744359095.8134313,1,2
1744359095.8134856,1,2
1744359095.8135395,1,2
1744359095.8135934,1,2
1744359095.8136473,1,2
1744359095.8137014,1,2
1744359095.813755,1,2
1744359095.8138096,1,2
1744359095.813864,1,2
1744359095.8139176,1,2
1744359095.8139884,1,2
1744359095.8140507,1,2
1744359095.8141048,1,2
1744359095.814159,1,2
1744359095.8142128,1,2
1744359095.8142667,1,2
1744359095.8143203,1,2
1744359095.8143742,1,2
1744359095.8144279,1,2
1744359095.8144817,1,2
1744359095.8145354,1,2
1744359095.8145893,1,2
1744359095.8146431,1,2
1744359095.814697,1,2
1744359095.8147507,1,2
1744359095.8148057,1,2
1744359095.8148608,1,2
1744359095.814916,1,2
1744359095.8149714,1,2
1744359095.8150423,1,2
1744359095.8150973,1,2
1744359095.8151515,1,2
1744359095.8152053,1,2
1744359095.8152592,1,2
1744359095.815313,1,2
1744359095.8153703,1,2
1744359095.8154247,1,2
1744359095.8154788,1,2
1744359095.8155324,1,2
1744359095.8155873,1,2
1744359095.8156424,1,2
1744359095.815697,1,2
1744359095.815753,1,2
1744359095.815808,1,2
1744359095.815863,1,2
1744359095.8159175,1,2
1744359095.8159723,1,2
1744359095.8160272,1,2
1744359095.816082,1,2
1744359095.8161361,1,2
1744359095.816191,1,2
1744359095.8162456,1,2
1744359095.8163,1,2
1744359095.816355,1,2
1744359095.81641,1,2
1744359095.8164644,1,2
1744359095.81652,1,2
1744359095.8165746,1,2
