Time,Goal_Position_0,Goal_Position_1,Present_Position_0,Present_Position_1
1746285651.369884,151802.86336089755,-151802.86336089755,3373,-1
1746285651.3954046,150502.40460092007,-150502.40460092007,3698,-724
1746285651.4273994,145260.96426273408,-145260.96426273408,5812,-3551
1746285651.459679,136211.472449839,-136211.472449839,8797,-8113
1746285651.49155,123702.1533830133,-123702.1533830133,16073,-14419
1746285651.523628,108129.55369140889,-108129.55369140889,23614,-22625
1746285651.555489,90512.85228715907,-90512.85228715907,32666,-31999
1746285651.587449,71082.90422980444,-71082.90422980444,42120,-41404
1746285651.6192822,50957.22153038354,-50957.22153038354,51660,-50255
1746285651.651387,30683.35562170988,-30683.35562170988,59549,-50937
1746285651.6833174,11300.11353750284,-11300.11353750284,65113,-49353
1746285651.7153466,-6550.633905469246,6550.633905469246,68648,-46616
1746285651.7473092,-22062.583653844616,22062.583653844616,70756,-41898
1746285651.7793334,-34671.33376233936,34671.33376233936,71094,-34802
1746285651.8113499,-43837.691508661046,43837.691508661046,69280,-26437
1746285651.8433113,-49197.77712357849,49197.77712357849,65615,-16985
1746285651.875447,-50594.30337457789,50594.30337457789,60240,-7597
1746285651.9073184,-50289.4480932457,50289.4480932457,52745,1843
1746285651.9394293,-49527.91997184756,49527.91997184756,43721,11287
1746285651.9713323,-48324.05159686039,48324.05159686039,34259,20739
1746285652.003318,-46673.81310856144,46673.81310856144,24919,29785
1746285652.035284,-44586.423867382066,44586.423867382066,15475,37157
1746285652.0672915,-42070.31688379714,42070.31688379714,5883,42096
1746285652.0993097,-39137.766309703424,39137.766309703424,-3529,42049
1746285652.1312675,-35807.084749115675,35807.084749115675,-13036,40871
1746285652.1634977,-32058.633717209566,32058.633717209566,-21635,37772
1746285652.1952648,-27991.404969055988,27991.404969055988,-28518,34087
1746285652.227274,-23545.26279264105,23545.26279264105,-33531,30382
1746285652.2592983,-18761.405751134862,18761.405751134862,-36700,26486
1746285652.2913907,-13677.586061322976,13677.586061322976,-38070,22152
1746285652.3232567,-8297.10456209358,8297.10456209358,-37698,17677
1746285652.3554354,-2622.560391928427,2622.560391928427,-35183,12897
1746285652.3872983,3236.349895829832,-3236.349895829832,-30947,7855
1746285652.4193969,9345.187170083513,-9345.187170083513,-24738,2563
1746285652.4512763,15607.803019260216,-15607.803019260216,-16843,-2941
1746285652.483289,22046.248250877215,-22046.248250877215,-7433,-8689
1746285652.5152497,28609.272152705522,-28609.272152705522,1834,-14589
1746285652.54728,35277.287781102605,-35277.287781102605,10284,-20689
1746285652.5792205,42002.187031358306,-42002.187031358306,18589,-26958
1746285652.611243,48778.42756270221,-48778.42756270221,26686,-33305
1746285652.643245,55557.15728643074,-55557.15728643074,32365,-39800
1746285652.6752353,62317.45987708332,-62317.45987708332,41767,-46375
1746285652.7074373,69029.49548972269,-69029.49548972269,49142,-52956
1746285652.7392266,75642.61665172862,-75642.61665172862,56273,-59592
1746285652.7713923,82187.46758799902,-82187.46758799902,63328,-66246
1746285652.8032339,88522.78626299722,-88522.78626299722,70329,-72849
1746285652.835236,94723.84873294613,-94723.84873294613,77078,-79445
1746285652.8671927,100711.88424605769,-100711.88424605769,83800,-85934
1746285652.8992097,106493.4714489377,-106493.4714489377,90355,-92296
1746285652.931333,112034.99231327153,-112034.99231327153,96666,-98540
1746285652.9632614,117273.12929091371,-117273.12929091371,102920,-104567
1746285652.9952013,122215.48317687653,-122215.48317687653,108819,-110446
1746285653.0272133,126844.97103095864,-126844.97103095864,114555,-116064
1746285653.0592186,131124.70324576244,-131124.70324576244,118696,-121370
1746285653.0911546,135046.4989671026,-135046.4989671026,125101,-126435
1746285653.1233866,138600.61745794225,-138600.61745794225,129945,-131094
1746285653.1552277,141748.58720611368,-141748.58720611368,134351,-135395
1746285653.1873102,144497.95409678243,-144497.95409678243,138315,-139299
1746285653.2191675,146801.95852518347,-146801.95852518347,141946,-142713
1746285653.25126,148693.71784878752,-148693.71784878752,144996,-145700
1746285653.2831795,150137.97763635227,-150137.97763635227,147560,-148098
1746285653.3151917,151140.28591549717,-151140.28591549717,149561,-149939
1746285653.3471742,151688.82223494438,-151688.82223494438,150916,-151164
1746285653.3817685,151802.86338372173,-151802.86338372173,151654,-151689
1746285653.4112034,150063.7066647673,-150063.7066647673,151757,-151748
1746285653.4432156,144337.54234129252,-144337.54234129252,151183,-150649
1746285653.4752505,134817.69777638855,-134817.69777638855,149450,-147600
1746285653.5071807,121921.84127214215,-121921.84127214215,144271,-142988
1746285653.539283,106176.52724443616,-106176.52724443616,138162,-136161
1746285653.5711374,88180.23025034672,-88180.23025034672,130125,-127610
1746285653.6032212,68565.74358614329,-68565.74358614329,120720,-118202
1746285653.6351395,48394.69479917396,-48394.69479917396,111328,-108811
1746285653.6671317,28233.610933635737,-28233.610933635737,102058,-99361
1746285653.6991425,8989.809937128468,-8989.809937128468,92673,-89927
1746285653.7311356,-8610.145809815174,8610.145809815174,83316,-80463
1746285653.763166,-23834.030141768708,23834.030141768708,73935,-70998
1746285653.795146,-36008.69398507356,36008.69398507356,64560,-61545
1746285653.8271046,-44714.128572671885,44714.128572671885,55198,-52080
1746285653.8591297,-49587.7343558232,49587.7343558232,45754,-42627
1746285653.8911946,-50581.156677115825,50581.156677115825,38737,-33154
1746285653.923103,-50220.46432820385,50220.46432820385,26931,-23706
1746285653.9552317,-49407.27189205289,49407.27189205289,17535,-14245
1746285653.9871647,-48141.7311545318,48141.7311545318,8090,-4782
1746285654.0192451,-46427.37125047638,46427.37125047638,-1355,4376
1746285654.0510914,-44296.23747187663,44296.23747187663,-10804,14135
1746285654.083065,-41730.99062003575,41730.99062003575,-20268,23437
1746285654.1150992,-38746.10388265721,38746.10388265721,-29569,31314
1746285654.1471174,-35359.08214181532,35359.08214181532,-36064,37265
1746285654.1790638,-31595.07870644131,31595.07870644131,-40438,41398
1746285654.2110982,-27453.91231420286,27453.91231420286,-43297,43722
1746285654.2431078,-22966.998378772772,22966.998378772772,-44372,44115
1746285654.2750847,-18147.549842645025,18147.549842645025,-43431,42730
1746285654.307241,-13014.050032568008,13014.050032568008,-40536,39406
1746285654.3391178,-7601.05507015188,7601.05507015188,-35936,34244
1746285654.371217,-1899.9039648233113,1899.9039648233113,-29517,27247
1746285654.4030292,3969.067938983875,-3969.067938983875,-21127,18836
1746285654.4351652,10121.398313345166,-10121.398313345166,-12555,10633
1746285654.4671803,16423.3298919878,-16423.3298919878,-4773,2870
1746285654.499103,22859.782815404174,-22859.782815404174,2575,-4620
1746285654.5311053,29437.393096970634,-29437.393096970634,10074,-11826
1746285654.563099,36113.55595487387,-36113.55595487387,17083,-18860
1746285654.595131,42858.31418433999,-42858.31418433999,23970,-25832
1746285654.6270766,49627.474158639416,-49627.474158639416,30990,-32713
1746285654.6590507,56395.346983338386,-56395.346983338386,37816,-39577
1746285654.6910892,63152.48491271249,-63152.48491271249,44592,-46218
1746285654.7231963,69853.94720331261,-69853.94720331261,51511,-53231
1746285654.7550278,76456.68164207632,-76456.68164207632,58292,-60026
1746285654.7872007,82992.24397410917,-82992.24397410917,65009,-66779
1746285654.8190672,89309.4519325816,-89309.4519325816,71797,-73482
1746285654.8510523,95483.3379103453,-95483.3379103453,78402,-80112
1746285654.8830597,101456.2709737378,-101456.2709737378,84946,-86629
1746285654.9150712,107198.78989902917,-107198.78989902917,91414,-92820
1746285654.9470491,112689.08354387053,-112689.08354387053,97654,-99246
1746285654.9790556,117904.90877014578,-117904.90877014578,103788,-105120
1746285655.0110438,122814.52099823921,-122814.52099823921,109656,-111128
1746285655.0430245,127395.97788391988,-127395.97788391988,115325,-116730
1746285655.0750422,131640.71221521005,-131640.71221521005,120701,-122027
1746285655.1072798,135544.61007176392,-135544.61007176392,125767,-127005
1746285655.1391757,139013.88512621116,-139013.88512621116,130531,-131667
1746285655.1710792,142116.64465351775,-142116.64465351775,134899,-135910
1746285655.2031946,144815.12578738775,-144815.12578738775,138814,-139769
1746285655.2350113,147066.3815440624,-147066.3815440624,142351,-143020
1746285655.2670355,148899.30218654752,-148899.30218654752,145369,-146031
1746285655.299016,150290.38617350932,-150290.38617350932,147837,-148373
1746285655.3310575,151234.3944473354,-151234.3944473354,149764,-150122
1746285655.3629646,151725.33807417125,-151725.33807417125,151058,-151272
1746285655.3977609,151802.86337634077,-151802.86337634077,151693,-151722
1746285655.4271288,150082.21163767015,-150082.21163767015,151760,-151748
1746285655.4593363,144310.316567314,-144310.316567314,151186,-150666
1746285655.4910564,134893.5342542763,-134893.5342542763,149472,-147693
1746285655.5230892,121995.9104267032,-121995.9104267032,144308,-142981
1746285655.5553608,106259.48763824534,-106259.48763824534,138224,-136409
1746285655.5869975,88273.39741260298,-88273.39741260298,130201,-127934
1746285655.6192272,68598.41644945835,-68598.41644945835,120803,-118525
1746285655.6509118,48534.441886354514,-48534.441886354514,111419,-109133
1746285655.6832063,28332.240799293206,-28332.240799293206,104471,-99694
1746285655.715026,9067.213959565166,-9067.213959565166,92749,-90547
1746285655.7471528,-8519.251934224474,8519.251934224474,83384,-80784
1746285655.7790163,-23736.78856229448,23736.78856229448,73998,-71332
1746285655.8109937,-35947.77937766693,35947.77937766693,64636,-62167
1746285655.8432362,-44706.38140889418,44706.38140889418,55256,-52408
1746285655.8749785,-49570.73749255949,49570.73749255949,45835,-43246
1746285655.9073353,-50580.80529657743,50580.80529657743,36488,-33778
1746285655.938998,-50222.83348674096,50222.83348674096,27002,-24337
1746285655.97113,-49411.04540889481,49411.04540889481,17643,-14855
1746285656.002988,-48150.83562711307,48150.83562711307,8152,-5411
1746285656.0353405,-46438.50947516306,46438.50947516306,-1260,4053
1746285656.0669665,-44308.01340729222,44308.01340729222,-10713,13810
1746285656.0988865,-41745.860012205645,41745.860012205645,-20191,23126
1746285656.1309657,-38762.47425147197,38762.47425147197,-29457,30869
1746285656.1629102,-35381.50421881692,35381.50421881692,-36034,36930
1746285656.1949525,-31614.00118295743,31614.00118295743,-40418,41305
1746285656.2269628,-27476.74459477456,27476.74459477456,-43288,43669
1746285656.2592323,-22989.16916063911,22989.16916063911,-44346,44144
1746285656.2909462,-18172.57783193062,18172.57783193062,-43459,42756
1746285656.3232358,-13018.884094489169,13018.884094489169,-40643,39669
1746285656.3551557,-7636.231081987901,7636.231081987901,-36010,34641
1746285656.3871078,-1960.2882401738002,1960.2882401738002,-29636,27740
1746285656.419005,3956.4655425211336,-3956.4655425211336,-21288,19362
1746285656.4510736,10089.859568863241,-10089.859568863241,-14550,10857
1746285656.4829948,16377.338119907243,-16377.338119907243,-4892,3268
1746285656.5149035,22821.9264651292,-22821.9264651292,2503,-4238
1746285656.5469282,29403.543625884817,-29403.543625884817,9989,-11489
1746285656.578893,36076.04650467937,-36076.04650467937,17065,-18759
1746285656.6108494,42807.22344925232,-42807.22344925232,23978,-25741
1746285656.642893,49587.30121934121,-49587.30121934121,30977,-32437
1746285656.675144,56359.67738747979,-56359.67738747979,36343,-39281
